algo.id,algo.desc,algo.representation,algo.operator.unary,algo.operator.binary,ref.id,ref.year,inst.id,inst.opt.bound.lower,system.cpu.name,system.cpu.n,system.cpu.cores,system.cpu.threads,system.cpu.mhz,system.runs.are.parallel,system.memory.mb,system.os.name,system.vm.name,system.compiler.name,system.programming.language.name,system.external.tools.list,notes,n.runs,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,total.fes.min,total.fes.mean,total.fes.med,total.fes.mode,total.fes.max,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd,budget.fes,budget.time
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la29,1152,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la30,1355,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la31,1784,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la32,1850,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la33,1719,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la34,1721,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la35,1888,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la36,1268,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la37,1397,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la38,1196,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
