algo.id,ref.id,algo.desc,algo.representation,algo.operator.unary,algo.operator.binary,system.cpu.name,system.cpu.n,system.cpu.cores,system.cpu.threads,system.cpu.mhz,system.runs.are.parallel,system.memory.mb,system.os.name,system.vm.name,system.compiler.name,system.programming.language.name,system.external.tools.list,notes
seqAntGenSA-CR,HRSCVGBTVMR2019AHSAFJSSP,ACS+SA,NA,NA,none,Intel Xeon,1,NA,NA,2300,FALSE,65536,CentOS,NA,NA,C,NA,NA
SequentialABC,SMM2018PABCPFJSSP,ABC,path through DAG,NA,NA,Intel Core i3,1,2,4,2700,FALSE,4096,Microsoft Windows 7,NA,NA,C/C++,Code::Blocks IDE,NA
TGA,AZ2015AEAGAFSTJSSP,EA+TS+GT,PL,NA,none,NA,1,NA,NA,2200,FALSE,8192,NA,NA,GCC,C++,NA,NA
TLBO,LWF2017AITLBOATSJSSP,TLBO+GT,PM,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
TS-PR,PLC2015ATSPRATSTJSSP,EA+TS,PL,swap,path relinking,Quad-Core AMD Athlon,1,4,4,3000,FALSE,2048,Microsoft Windows 7,NA,NA,C++,NA,NA
UPLA,P2019ATLMAFTJSSP,population-based metaheuristic optimizing the parameters of a lower-level LS,OB,swap+insert,NA,Intel Core i5 M580,1,2,4,2670,FALSE,6144,NA,NA,NA,C#,NA,NA
VNS-IIII-IS,P2014VNSAATJSSP,VNS,OB,insert+swap,NA,Intel Core2 Duo,1,2,2,2000,FALSE,NA,Microsoft Windows,NA,NA,C#,NA,NA
VNS-IIII-SI,P2014VNSAATJSSP,VNS,OB,insert+swap,NA,Intel Core2 Duo,1,2,2,2000,FALSE,NA,Microsoft Windows,NA,NA,C#,NA,NA
VNS-IISS-IS,P2014VNSAATJSSP,VNS,OB,insert+swap,NA,Intel Core2 Duo,1,2,2,2000,FALSE,NA,Microsoft Windows,NA,NA,C#,NA,NA
VNS-IISS-SI,P2014VNSAATJSSP,VNS,OB,insert+swap,NA,Intel Core2 Duo,1,2,2,2000,FALSE,NA,Microsoft Windows,NA,NA,C#,NA,NA
VNS-SSII-IS,P2014VNSAATJSSP,VNS,OB,insert+swap,NA,Intel Core2 Duo,1,2,2,2000,FALSE,NA,Microsoft Windows,NA,NA,C#,NA,NA
VNS-SSII-SI,P2014VNSAATJSSP,VNS,OB,insert+swap,NA,Intel Core2 Duo,1,2,2,2000,FALSE,NA,Microsoft Windows,NA,NA,C#,NA,NA
VNS-SSSS-IS,P2014VNSAATJSSP,VNS,OB,insert+swap,NA,Intel Core2 Duo,1,2,2,2000,FALSE,NA,Microsoft Windows,NA,NA,C#,NA,NA
VNS-SSSS-SI,P2014VNSAATJSSP,VNS,OB,insert+swap,NA,Intel Core2 Duo,1,2,2,2000,FALSE,NA,Microsoft Windows,NA,NA,C#,NA,NA
