inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd
ta24,20,300000,1654,1658.45,1658,1654,1667,3.60518632265416,14000,157850,165000,165000,285000,79203.4522107797,300000,300000,300000,300000,300000,0,4,106000,106000,191500,191500,213000,48058.9915277741
ta24,20,1800000,1647,1652.25,1654,1654,1654,3.10983160823523,201000,951800,939000,939000,1580000,364305.33752248,1800000,1800000,1800000,1800000,1800000,0,5,1314000,1314000,1359000,1359000,1580000,105927.805603628
ta24,20,1801000,1647,1652.25,1654,1654,1654,3.10983160823523,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,5,1801000,1801000,1801000,1801000,1801000,0
ta25,20,180000,1598,1604.05,1601,1598,1617,6.67654969197966,6000,85800,88500,38000,180000,50580.420593036,180000,180000,180000,180000,180000,0,8,27000,27000,67000,27000,180000,51514.0410817423
ta25,20,300000,1598,1602.3,1598.5,1598,1617,6.0879518637007,27000,119050,98500,38000,299000,87016.3172840831,300000,300000,300000,300000,300000,0,10,27000,27000,82500,27000,293000,93499.9108733978
ta25,20,1800000,1595,1596.15,1596,1596,1598,0.670820393249937,108000,1399500,1502500,1502500,1681000,374563.113928467,1800000,1800000,1800000,1800000,1800000,0,1,1493000,1493000,1493000,1493000,1493000,0
ta25,20,1801000,1595,1596.15,1596,1596,1598,0.670820393249937,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta26,20,180000,1654,1659.45,1659.5,1659,1669,3.54631016543586,6000,85200,78000,50500,163000,49245.4646589276,180000,180000,180000,180000,180000,0,3,44000,44000,67000,67000,133000,46198.8455844227
ta26,20,300000,1654,1659,1659,1659,1669,3.55409326655455,6000,113300,118500,67000,262000,71367.1751172101,300000,300000,300000,300000,300000,0,3,44000,44000,67000,67000,133000,46198.8455844227
ta26,20,1800000,1649,1651.85,1652,1652,1652,0.670820393249937,886000,1156250,1133500,1056000,1763000,164814.049924852,1800000,1800000,1800000,1800000,1800000,0,1,1763000,1763000,1763000,1763000,1763000,0
ta26,20,1801000,1649,1651.85,1652,1652,1652,0.670820393249937,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta27,20,180000,1689,1692.4,1692,1692,1696,1.90290636437502,7000,91450,77000,77000,176000,58204.2456400417,180000,180000,180000,180000,180000,0,1,128000,128000,128000,128000,128000,0
ta27,20,300000,1689,1692.1,1692,1692,1696,1.65115589496379,7000,124850,123500,123500,269000,76740.3516993985,300000,300000,300000,300000,300000,0,1,128000,128000,128000,128000,128000,0
