inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd
ta35,40,1801000,2007,2007,2007,2007,2007,0,6000,903500,903500,903500,1801000,908933.581957591,1801000,1801000,1801000,1801000,1801000,0,40,6000,6000,903500,903500,1801000,908933.581957591
ta35,40,NA,2007,2007,2007,2007,2007,0,1801000,1902550,1845000,1801000,2070000,107715.425174451,1801000,1902550,1845000,1801000,2070000,107715.425174451,40,1801000,1801000,1845000,1801000,2070000,107715.425174451
ta36,40,180000,1819,1821,1821,1819,1823,1.79743406854583,17000,78900,65000,34000,178000,47725.6045884527,180000,180000,180000,180000,180000,0,16,23000,23000,49500,49500,178000,49496.0857038211
ta36,40,300000,1819,1819.925,1819,1819,1823,1.40306441177508,17000,138275,142000,29000,283000,87019.2986258412,300000,3e+05,300000,300000,300000,0,26,23000,23000,125000,125000,283000,91884.7187428984
ta36,40,1800000,1819,1819,1819,1819,1819,0,23000,276350,224500,411000,1040000,258222.280513991,1800000,1800000,1800000,1800000,1800000,0,40,23000,23000,224500,411000,1040000,258222.280513991
ta36,40,1801000,1819,1819,1819,1819,1819,0,23000,1030600,1420500,1801000,1801000,807358.745285975,1801000,1801000,1801000,1801000,1801000,0,40,23000,23000,1420500,1801000,1801000,807358.745285975
ta36,40,NA,1819,1819,1819,1819,1819,0,1801000,2206225,2160500,1801000,2689000,412061.327742016,1801000,2206225,2160500,1801000,2689000,412061.327742016,40,1801000,1801000,2160500,1801000,2689000,412061.327742016
ta37,40,180000,1784,1788.875,1788.5,1787,1793,2.4514516892273,6000,88400,74000,61000,177000,51878.457561635,180000,180000,180000,180000,180000,0,1,26000,26000,26000,26000,26000,0
ta37,40,300000,1784,1787.9,1787,1787,1793,2.20488967105805,6000,144000,137500,248500,300000,91274.4522910198,300000,3e+05,300000,300000,300000,0,1,26000,26000,26000,26000,26000,0
ta37,40,1800000,1783,1785.325,1785.5,1785,1788,1.22762017010608,26000,762125,707500,707500,1782000,494820.464074261,1800000,1800000,1800000,1800000,1800000,0,1,1417000,1417000,1417000,1417000,1417000,0
ta37,40,1801000,1783,1785.325,1785.5,1785,1788,1.22762017010608,160000,1294200,1760500,1801000,1801000,611605.629596267,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta37,40,NA,1783,1785.225,1785,1784,1788,1.25038455623122,1801000,2152700,2116000,1801000,2594000,358193.558904994,1801000,2152700,2116000,1801000,2594000,358193.558904994,1,1801000,1801000,1801000,1801000,1801000,0
ta38,40,180000,1673,1678.65,1678,1678,1688,3.37828662384063,8000,97925,96000,107000,176000,48965.9156703507,180000,180000,180000,180000,180000,0,3,45000,45000,78000,78000,169000,64220.9726906509
ta38,40,300000,1673,1677.35,1677,1676,1683,2.52728698156333,8000,142025,132500,87000,291000,72135.3739817517,300000,3e+05,300000,300000,300000,0,4,45000,45000,123500,123500,193000,70975.9348887588
ta38,40,1800000,1673,1674.025,1674,1673,1676,1.09749131180487,8000,863125,907000,1213000,1755000,534191.706081397,1800000,1800000,1800000,1800000,1800000,0,18,45000,45000,1003000,1003000,1732000,521122.785451126
ta38,40,1801000,1673,1674.025,1674,1673,1676,1.09749131180487,8000,1293175,1778000,1801000,1801000,666053.932039002,1801000,1801000,1801000,1801000,1801000,0,18,45000,45000,1766500,1801000,1801000,646286.781990134
ta38,40,NA,1673,1673.875,1674,1673,1676,0.991954817002447,1801000,2151400,2111500,1801000,2567000,357823.749767167,1801000,2151400,2111500,1801000,2567000,357823.749767167,19,1801000,1801000,2422000,1801000,2563000,346489.436815268
ta39,40,180000,1795,1797.525,1797.5,1798,1806,2.89107823023406,15000,90750,94500,77000,176000,47477.2550132139,180000,180000,180000,180000,180000,0,12,15000,15000,99000,99000,158000,46588.7878304979
ta39,40,300000,1795,1796.625,1796,1795,1803,1.89042798030445,15000,131525,120500,123000,299000,80409.524726034,300000,3e+05,300000,300000,300000,0,16,15000,15000,113000,180500,266000,85242.5705462554
ta39,40,1800000,1795,1795.025,1795,1795,1796,0.158113883008419,15000,489450,348000,180500,1376000,416486.768343399,1800000,1800000,1800000,1800000,1800000,0,39,15000,15000,349000,180500,1376000,417916.440388624
ta39,40,1801000,1795,1795.025,1795,1795,1796,0.158113883008419,15000,1170625,1564500,1801000,1801000,708165.042602431,1801000,1801000,1801000,1801000,1801000,0,39,15000,15000,1328000,1801000,1801000,709908.253751806
ta39,40,NA,1795,1795.025,1795,1795,1796,0.158113883008419,1801000,2120025,2058500,1801000,2532000,326919.145300642,1801000,2120025,2058500,1801000,2532000,326919.145300642,39,1801000,1801000,2316000,1801000,2532000,327019.328214161
ta40,40,180000,1684,1691.725,1691.5,1691,1696,2.32033927669519,11000,74100,75000,78000,161000,38411.9372471231,180000,180000,180000,180000,180000,0,1,63000,63000,63000,63000,63000,0
ta40,40,300000,1684,1690.875,1691,1691,1694,1.95050946664895,13000,136975,117500,164500,298000,86764.4874476377,300000,3e+05,300000,300000,300000,0,1,63000,63000,63000,63000,63000,0
ta40,40,1800000,1683,1687.775,1688,1689,1691,2.01898044846453,13000,1044525,1202000,1202000,1797000,510167.94557509,1800000,1800000,1800000,1800000,1800000,0,2,493000,493000,954000,954000,1415000,651952.452253997
ta40,40,1801000,1683,1687.775,1688,1689,1691,2.01898044846453,459000,1512525,1799000,1801000,1801000,412892.60958666,1801000,1801000,1801000,1801000,1801000,0,2,493000,493000,1147000,1147000,1801000,924895.669792004
ta40,40,NA,1683,1687.7,1688,1689,1691,2.0280090021547,1801000,2148275,1988500,1801000,2601000,359326.791303846,1801000,2148275,1988500,1801000,2601000,359326.791303846,2,1801000,1801000,2143500,2143500,2486000,484368.145112785
ta41,40,180000,2025,2035.825,2036,2038,2050,5.23737798952188,9000,101850,99000,124000,175000,50064.3432148916,180000,180000,180000,180000,180000,0,1,9000,9000,9000,9000,9000,0
ta41,40,300000,2025,2033.8,2034,2035,2044,4.18911899433735,9000,168850,173500,123000,300000,80226.1387163394,300000,3e+05,300000,300000,300000,0,1,9000,9000,9000,9000,9000,0
ta41,40,1800000,2023,2027.175,2027.5,2028,2031,1.75247078325256,9000,866325,948000,1330500,1783000,515360.5353636,1800000,1800000,1800000,1800000,1800000,0,1,1041000,1041000,1041000,1041000,1041000,0
ta41,40,1801000,2023,2027.175,2027.5,2028,2031,1.75247078325256,9000,1296350,1757000,1801000,1801000,619562.316561106,1801000,1801000,1801000,1801000,1801000,0,1,1041000,1041000,1041000,1041000,1041000,0
ta41,40,NA,2023,2026.95,2027,2027,2031,1.7967206594808,1801000,2131600,2125500,1801000,2485000,334880.215859879,1801000,2131600,2125500,1801000,2485000,334880.215859879,1,2459000,2459000,2459000,2459000,2459000,0
ta42,40,180000,1960,1967.025,1966,1966,1973,2.76875886292498,14000,106775,118000,92000,180000,49061.1797552236,180000,180000,180000,180000,180000,0,1,158000,158000,158000,158000,158000,0
ta42,40,300000,1960,1966,1966,1966,1971,2.01277968274773,14000,148075,155000,123000,288000,70015.5248352015,300000,3e+05,300000,300000,300000,0,1,158000,158000,158000,158000,158000,0
